cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
6-(1-methylaziridin-1-ium-1-yl)-7H-purine,1,1,C8H10N5+,57293230,215,176.198,13,,54.5,LAJOOGIEMFAFBD-UHFFFAOYSA-N,3,0.3
potassium;3-(1H-imidazol-5-yl)prop-2-enoate,2,1,C6H5KN2O2,67892362,161,176.214,11,SCHEMBL9614484,68.8,DHHMVCZOCQTJQL-UHFFFAOYSA-M,3,
1H-benzimidazole;propan-2-one,0,1,C10H12N2O,5314121,129,176.215,13,ghl.PD_Mitscher_leg0.118,45.8,HSBOBRDKLLFMFH-UHFFFAOYSA-N,2,
"6-methoxy-4,5-dimethyl-1H-benzimidazole",1,1,C10H12N2O,89025601,186,176.215,13,SCHEMBL13160153,37.9,LXQCWRAIPKAZGK-UHFFFAOYSA-N,2,0.002
1-(3H-benzimidazol-5-yl)propan-2-ol,2,2,C10H12N2O,83674965,174,176.215,13,AKOS023406279,48.9,JEIPCNXHEPZNSV-UHFFFAOYSA-N,2,1.3
1-(1H-benzimidazol-4-yl)propan-2-ol,2,2,C10H12N2O,83674966,174,176.215,13,AKOS023406282,48.9,WTTMARPSYZERIE-UHFFFAOYSA-N,2,0.001
3-(3H-benzimidazol-5-yl)propan-1-ol,3,2,C10H12N2O,82490563,163,176.215,13,ZINC82587804,48.9,NVDHDINAYSOYGM-UHFFFAOYSA-N,2,1.3
4-propan-2-yloxy-1H-benzimidazole,2,1,C10H12N2O,83449257,172,176.215,13,ZINC76208178,37.9,GVJVLFXERPQQDE-UHFFFAOYSA-N,2,0.002
6-propan-2-yloxy-1H-benzimidazole,2,1,C10H12N2O,83449258,172,176.215,13,ZINC76208182,37.9,WQYJUSBQFJNITI-UHFFFAOYSA-N,2,2.6
5-[(5-ethylfuran-2-yl)methyl]-1H-imidazole,3,1,C10H12N2O,10154282,163,176.215,13,SCHEMBL7800744,41.8,QWOGZOIOXRDMQJ-UHFFFAOYSA-N,2,0.002
2-(3H-benzimidazol-5-yl)propan-2-ol,1,2,C10H12N2O,18670721,193,176.215,13,SCHEMBL6750187,48.9,YIVNFWJIUITCPX-UHFFFAOYSA-N,2,1
1-(6-methyl-1H-benzimidazol-5-yl)ethanol,1,2,C10H12N2O,20784627,186,176.215,13,SCHEMBL13373552,48.9,IQIHWYBXBMHGPK-UHFFFAOYSA-N,2,1.5
(2E)-2-(1H-imidazol-5-ylmethylidene)cyclohexan-1-one,1,1,C10H12N2O,20711740,235,176.215,13,317338-34-4,45.8,FVJLCVIUWIPFIP-VMPITWQZSA-N,2,0.001
3-(1H-benzimidazol-4-yl)propan-1-ol,3,2,C10H12N2O,19919336,163,176.215,13,1H-benzimidazole-4propanol,48.9,SOSVSANZKFBCPZ-UHFFFAOYSA-N,2,0.001
4-propoxy-1H-benzimidazole,3,1,C10H12N2O,19921761,163,176.215,13,SCHEMBL11784065,37.9,AYIVDABSAYVQLR-UHFFFAOYSA-N,2,0.002
6-propoxy-1H-benzimidazole,3,1,C10H12N2O,54353531,163,176.215,13,ZINC76859145,37.9,ODUZTYPOZMJGGM-UHFFFAOYSA-N,2,2.7
2-(1H-imidazol-5-ylmethylidene)cyclohexan-1-one,1,1,C10H12N2O,73699873,235,176.215,13,,45.8,FVJLCVIUWIPFIP-UHFFFAOYSA-N,2,0.001
2-butan-2-yl-7H-purine,2,1,C9H12N4,54552664,173,176.218,13,SCHEMBL6950633,54.5,ZKZRSAPCDJAXAU-UHFFFAOYSA-N,3,0.001
1-ethenyl-2-methylimidazole;1H-imidazole,1,1,C9H12N4,70500105,119,176.218,13,SCHEMBL11036126,46.5,RMUQGAUSZAJCRU-UHFFFAOYSA-N,2,
"7-propyl-3H-imidazo[4,5-c]pyridin-4-amine",2,2,C9H12N4,68958955,173,176.218,13,SCHEMBL4214823,67.6,DVNQYWNQPDEQHH-UHFFFAOYSA-N,3,0.001
"4-(2,5-dimethylpyrrol-1-yl)-1H-imidazol-5-amine",1,2,C9H12N4,98012085,175,176.218,13,ZINC98103126,59.6,IGVIENRXUIAERZ-UHFFFAOYSA-N,2,0.001
"2,6-diethyl-7H-purine",2,1,C9H12N4,68052465,173,176.218,13,SCHEMBL10171943,54.5,XUEZTQRQZWPMOB-UHFFFAOYSA-N,3,0.001
1H-imidazole;1-prop-2-enylimidazole,2,1,C9H12N4,68159963,109,176.218,13,SCHEMBL11904844,46.5,MYDFPVREIHWCIZ-UHFFFAOYSA-N,2,
2-[4-(1H-pyrrol-3-yl)-1H-imidazol-5-yl]ethanamine,3,3,C9H12N4,82280542,162,176.218,13,ZINC71497046,70.5,JILAFWFDSHUHOX-UHFFFAOYSA-N,2,0
"1-(1H-benzimidazol-4-yl)ethane-1,2-diamine",2,3,C9H12N4,82410758,173,176.218,13,AKOS022709103,80.7,YVMJBWMSRTWMLA-UHFFFAOYSA-N,3,0
"2-(1H-imidazo[4,5-b]pyridin-6-yl)propan-1-amine",2,2,C9H12N4,82410756,173,176.218,13,AKOS022709101,67.6,CARNBLBVPTVLHJ-UHFFFAOYSA-N,3,0
"2-(4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridin-4-yl)propanenitrile",1,2,C9H12N4,82410769,231,176.218,13,AKOS022709115,64.5,LUTUBWRHQMODDP-UHFFFAOYSA-N,3,0
"2-(1H-imidazo[4,5-b]pyridin-6-yl)propan-2-amine",1,2,C9H12N4,82410788,192,176.218,13,ZINC82398697,67.6,FTFFPKQMSJNFAN-UHFFFAOYSA-N,3,0
N-methyl-1-[4-(1H-pyrrol-2-yl)-1H-imidazol-5-yl]methanamine,3,3,C9H12N4,84109672,162,176.218,13,AKOS023879653,56.5,RBMPNRUPIRPICW-UHFFFAOYSA-N,2,0
N-methyl-1-[4-(1H-pyrrol-3-yl)-1H-imidazol-5-yl]methanamine,3,3,C9H12N4,84109673,162,176.218,13,AKOS023879654,56.5,RMJRVFNHICBBKL-UHFFFAOYSA-N,2,0
2-[4-(1H-pyrrol-2-yl)-1H-imidazol-5-yl]ethanamine,3,3,C9H12N4,84109674,162,176.218,13,AKOS023879661,70.5,BUZAOSYAYZTUNJ-UHFFFAOYSA-N,2,0
[4-(1-methylpyrrol-3-yl)-1H-imidazol-5-yl]methanamine,2,2,C9H12N4,82280540,173,176.218,13,ZINC71497041,59.6,PUSFZKAPICWDKE-UHFFFAOYSA-N,2,0
2-methyl-6-propan-2-yl-7H-purine,1,1,C9H12N4,58008664,183,176.218,13,SCHEMBL179304,54.5,HNQLBJNOBQIUQQ-UHFFFAOYSA-N,3,0.001
"N'-(3H-benzimidazol-5-yl)ethane-1,2-diamine",3,3,C9H12N4,82490572,162,176.218,13,ZINC82587816,66.7,LYPGQVOTTZLPKE-UHFFFAOYSA-N,3,0.9
2-tert-butyl-7H-purine,1,1,C9H12N4,59464681,187,176.218,13,SCHEMBL5021590,54.5,NDZBUVQTILISRJ-UHFFFAOYSA-N,3,0.001
"1-(1H-imidazo[4,5-b]pyridin-6-yl)propan-2-amine",2,2,C9H12N4,83874571,173,176.218,13,AKOS023624527,67.6,SHZCJGQVIPUDLS-UHFFFAOYSA-N,3,0
"3-(1H-imidazo[4,5-b]pyridin-6-yl)propan-1-amine",3,2,C9H12N4,82599169,162,176.218,13,ZINC82869085,67.6,KXCBMZJFOQWCRR-UHFFFAOYSA-N,3,0
5-[1-(1H-imidazol-5-yl)propyl]-1H-imidazole,3,2,C9H12N4,67702570,146,176.218,13,SCHEMBL8820677,57.4,SRMGJUHJALCXMM-UHFFFAOYSA-N,2,0
"5-tert-butyl-3H-imidazo[4,5-b]pyrazine",1,1,C9H12N4,59858122,187,176.218,13,SCHEMBL13508896,54.5,XCLFKJPIRQPHOS-UHFFFAOYSA-N,3,0.001
4-(1H-imidazol-5-yl)piperidine-4-carbonitrile,1,2,C9H12N4,82599165,223,176.218,13,ZINC82869080,64.5,GWFBRGRZBQNUKP-UHFFFAOYSA-N,3,0
"2-(1H-imidazo[4,5-b]pyridin-6-yl)-N-methylethanamine",3,2,C9H12N4,82599168,162,176.218,13,ZINC82869084,53.6,QKQWERICBPRKMW-UHFFFAOYSA-N,3,0
4-(1H-imidazol-5-yl)-1-propan-2-ylpyrazole,2,1,C9H12N4,67500843,171,176.218,13,SCHEMBL15367185,46.5,JBQDHYQRUNIFRT-UHFFFAOYSA-N,2,0
cyclobutane;7H-purine,0,1,C9H12N4,67858392,113,176.218,13,SCHEMBL9471861,54.5,ZQKBHIFGWCMDGQ-UHFFFAOYSA-N,3,
N-(1H-imidazol-5-ylmethyl)-1-(1H-pyrrol-3-yl)methanamine,4,3,C9H12N4,66407683,151,176.218,13,AKOS015752724,56.5,OBUJHTZTJBFPKO-UHFFFAOYSA-N,2,0
N-(1H-imidazol-5-ylmethyl)-1-(1H-pyrrol-2-yl)methanamine,4,3,C9H12N4,65678416,151,176.218,13,AKOS015017988,56.5,HPMKSNFNCLJTLX-UHFFFAOYSA-N,2,0
N-[2-(1H-imidazol-5-yl)ethyl]-1H-pyrrol-3-amine,4,3,C9H12N4,10797364,151,176.218,13,,56.5,LULXDKKCNMZREG-UHFFFAOYSA-N,2,0
2-butyl-7H-purine,3,1,C9H12N4,19759327,162,176.218,13,,54.5,YNEQAQWBRXQKNU-UHFFFAOYSA-N,3,0.001
N-[(5-methyl-1H-imidazol-4-yl)methyl]pyrrol-1-amine,3,2,C9H12N4,79090991,156,176.218,13,AKOS017641691,45.6,ZXPAFGMQGNPJIY-UHFFFAOYSA-N,2,0.001
2-methyl-6-propyl-7H-purine,2,1,C9H12N4,91032124,173,176.218,13,,54.5,DXTRMRZQHZIMHF-UHFFFAOYSA-N,3,0.001
"4-butyl-1H-imidazo[4,5-d]pyridazine",3,1,C9H12N4,53919411,162,176.218,13,,54.5,IJJPBUZBDPSVBN-UHFFFAOYSA-N,3,0.001
6-butyl-7H-purine,3,1,C9H12N4,22419343,162,176.218,13,"1H-Purine, 6-butyl-",54.5,QENUZDHVYSYPEB-UHFFFAOYSA-N,3,0.001
"2-(1H-imidazo[4,5-b]pyridin-7-yl)-N-methylethanamine",3,2,C9H12N4,84655590,162,176.218,13,AKOS024057409,53.6,KTHLJCIBUOBXOZ-UHFFFAOYSA-N,3,0
"4-butyl-5H-imidazo[4,5-c]pyridazine",3,1,C9H12N4,54072232,162,176.218,13,,54.5,MHGAWHOYKCSUQC-UHFFFAOYSA-N,3,0.001
1-methyl-2-propylpurine,2,0,C9H12N4,54097526,173,176.218,13,,43.6,AKAHAUKCRTWDIR-UHFFFAOYSA-N,3,0.001
2-(1H-imidazol-5-yl)-2-pyrrolidin-1-ylacetonitrile,2,1,C9H12N4,84739541,213,176.218,13,AKOS024170626,55.7,YLCHFTYFESRVFK-UHFFFAOYSA-N,3,0
"2-(1H-imidazo[4,5-b]pyridin-5-yl)propan-1-amine",2,2,C9H12N4,21649130,173,176.218,13,SCHEMBL10441591,67.6,OKRVLDKQPKJNHB-UHFFFAOYSA-N,3,0
6-butan-2-yl-7H-purine,2,1,C9H12N4,91403906,173,176.218,13,,54.5,CXRJDJGAZDYXOX-UHFFFAOYSA-N,3,0.001
"4-N,7-N-dimethyl-1H-benzimidazole-4,7-diamine",2,3,C9H12N4,53855466,173,176.218,13,,52.7,GSUNLCSNOYRQAK-UHFFFAOYSA-N,3,0.001
6-tert-butyl-7H-purine,1,1,C9H12N4,15277797,187,176.218,13,6-tert-Butyl-9H-purine,54.5,WYQISCAPPCJVFA-UHFFFAOYSA-N,3,0.001
6-(2-methylpropyl)-7H-purine,2,1,C9H12N4,15277793,171,176.218,13,6-Isobutyl-9H-purine,54.5,WEXDVVAOKTYVPM-UHFFFAOYSA-N,3,0.001
"5,6-dimethyl-1H-benzimidazole-4,7-diamine",0,3,C9H12N4,12820849,196,176.218,13,ZINC75566671,80.7,ZBDXDHBXBOAFKQ-UHFFFAOYSA-N,3,0
5-[3-(1H-imidazol-5-yl)propyl]-1H-imidazole,4,2,C9H12N4,54368664,135,176.218,13,SCHEMBL8963886,57.4,URPHCFCRQCKQPE-UHFFFAOYSA-N,2,0
"6-propyl-1H-imidazo[4,5-c]pyridin-4-amine",2,2,C9H12N4,76848021,173,176.218,13,ZINC89203216,67.6,RDCTUUFQNLFBNN-UHFFFAOYSA-N,3,0.001
5-phenylsulfanyl-1H-imidazole,2,1,C9H8N2S,4365996,135,176.238,12,5-phenylsulfanyl-1H-imidazole,54,GURZJXWRPWAUKA-UHFFFAOYSA-N,2,0.002
2-(1H-imidazol-5-yl)benzenethiol,1,2,C9H8N2S,24971329,152,176.238,12,CHEMBL457326,29.7,DCVGMNGKJZRWTN-UHFFFAOYSA-N,2,0.001
3-(1H-imidazol-5-yl)benzenethiol,1,2,C9H8N2S,24971327,152,176.238,12,3-(1H-Imidazol-4-yl)benzenethiol,29.7,GZDISEVTMUIDGB-UHFFFAOYSA-N,2,0.001
4-(1H-imidazol-5-yl)benzenethiol,1,2,C9H8N2S,24971328,144,176.238,12,CHEMBL457610,29.7,PYCYXXICQDEFAY-UHFFFAOYSA-N,2,0.001
5-[(E)-2-thiophen-3-ylethenyl]-1H-imidazole,2,1,C9H8N2S,67416510,170,176.238,12,SCHEMBL2459342,56.9,GSNRDZIOTOYSCZ-OWOJBTEDSA-N,2,0.002
5-(2-thiophen-3-ylethenyl)-1H-imidazole,2,1,C9H8N2S,67416511,170,176.238,12,,56.9,GSNRDZIOTOYSCZ-UHFFFAOYSA-N,2,0.002
"4,5-dihydro-3H-thieno[3,2-e]benzimidazole",0,1,C9H8N2S,21743649,185,176.238,12,SCHEMBL9690326,56.9,FZOJRZYPOWEVBD-UHFFFAOYSA-N,2,0.001
5-oct-3-ynyl-1H-imidazole,4,1,C11H16N2,9794009,187,176.258,13,SCHEMBL7622270,28.7,IUJSNLZVZKPUBB-UHFFFAOYSA-N,1,0.003
5-[(2-methylcyclohex-2-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,9920514,198,176.258,13,SCHEMBL343178,28.7,GJWZDGWSJBERCY-UHFFFAOYSA-N,1,0.002
5-[(3-ethylcyclopent-2-en-1-yl)methyl]-1H-imidazole,3,1,C11H16N2,9964242,198,176.258,13,CTK8I7941,28.7,DNOBDGCNKRXJSU-UHFFFAOYSA-N,1,0.002
"5,6,7-trimethyl-1,6,7,8-tetrahydrocyclohepta[d]imidazole",0,1,C11H16N2,91578619,222,176.258,13,,28.7,DJFWXZLJCJTIHD-UHFFFAOYSA-N,1,0.002
5-[(3-methylcyclohex-3-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,9877521,198,176.258,13,HE141621,28.7,VLRCBLQEGQVHLH-UHFFFAOYSA-N,1,0.002
5-[(1-methylcyclohex-2-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,69782711,200,176.258,13,SCHEMBL6443977,28.7,MRUREEKJDXDPTK-UHFFFAOYSA-N,1,0.002
5-[(3-methylcyclohex-2-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,20711759,198,176.258,13,SCHEMBL7797670,28.7,BAQHMGKQTJNVFK-UHFFFAOYSA-N,1,0.002
5-[(4-methylidenecyclohexyl)methyl]-1H-imidazole,2,1,C11H16N2,20711767,179,176.258,13,SCHEMBL12048473,28.7,ZIFUBVWTMXWYHE-UHFFFAOYSA-N,1,2.5
5-[(4-methylcyclohex-2-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,20711764,189,176.258,13,SCHEMBL7800796,28.7,OQWXUUQQPRNKMB-UHFFFAOYSA-N,1,0.002
5-[(4-methylcyclohex-3-en-1-yl)methyl]-1H-imidazole,2,1,C11H16N2,20711765,198,176.258,13,SCHEMBL7791557,28.7,CGSFVXKRNLQAPH-UHFFFAOYSA-N,1,0.002
5-(3-bicyclo[2.2.2]octanyl)-1H-imidazole,1,1,C11H16N2,12369713,185,176.258,13,"1H-Imidazole, 4-bicyclo[2.2.2]oct-2-yl-",28.7,DMGQFDXQHBHLMF-UHFFFAOYSA-N,1,0.002
2-(1H-imidazol-5-yl)ethanamine;zinc,2,2,C5H9N3Zn,70350393,64.7,176.525,9,SCHEMBL10359667,54.7,SWZJCAOPUFSMHO-UHFFFAOYSA-N,2,
zinc;2-(1H-imidazol-5-yl)ethanamine,2,2,C5H9N3Zn+2,20136187,64.7,176.525,9,,54.7,AKNPGOWIEDLFJJ-UHFFFAOYSA-N,2,
sodium;6-chloropurin-3-ide,0,0,C5H2ClN4Na,101348460,136,176.538,11,(6-Chloro-9H-purine-9-yl) sodium,39.7,OYLBMNWYDNCDCK-UHFFFAOYSA-N,4,
2-(1H-imidazol-5-yl)propanoic acid;hydrochloride,2,3,C6H9ClN2O2,67010418,138,176.6,11,SCHEMBL1375002,66,CLVWCBBZYVGNKL-UHFFFAOYSA-N,3,
5-ethyl-1H-imidazole-4-carboxylic acid;hydrochloride,2,3,C6H9ClN2O2,66852769,138,176.6,11,SCHEMBL947746,66,OCPASIWLCDEYKY-UHFFFAOYSA-N,3,
1H-imidazol-5-yl propanoate;hydrochloride,3,2,C6H9ClN2O2,67664127,127,176.6,11,SCHEMBL8693728,55,NHEYPGDNENUJJO-UHFFFAOYSA-N,3,
3-(1H-imidazol-5-yl)propanoic acid;hydrochloride,3,3,C6H9ClN2O2,57368001,127,176.6,11,3-(1H-Imidazol-4-yl)propanoic acid hydrochloride,66,YUEMXJRPUGSFBF-UHFFFAOYSA-N,3,
2-(5-methyl-1H-imidazol-4-yl)acetic acid;hydrochloride,2,3,C6H9ClN2O2,86811824,138,176.6,11,MolPort-033-356-130,66,DADBHRWTRQHTTO-UHFFFAOYSA-N,3,
methyl 2-(1H-imidazol-5-yl)acetate;hydrochloride,3,2,C6H9ClN2O2,13948274,127,176.6,11,51718-80-0,55,OGOVUFLIQYXZKW-UHFFFAOYSA-N,3,
4-amino-N-methyl-1H-imidazole-5-carboxamide;hydrochloride,1,4,C5H9ClN4O,2771324,138,176.604,11,5-amino-N-methyl-1H-imidazole-4-carboxamide hydrochloride,83.8,MKLVYHYFDRFXRS-UHFFFAOYSA-N,3,
1-(1H-imidazol-5-yl)-2-methylpropan-1-ol;hydrochloride,2,3,C7H13ClN2O,55254898,106,176.643,11,AKOS006291496,48.9,STDBECDPYIRAOH-UHFFFAOYSA-N,2,
3-(5-methyl-1H-imidazol-4-yl)propan-1-ol;hydrochloride,3,3,C7H13ClN2O,69883239,97.6,176.643,11,SCHEMBL6741572,48.9,DKFZTGIYWOAGJL-UHFFFAOYSA-N,2,
(4-propan-2-yl-1H-imidazol-5-yl)methanol;hydrochloride,2,3,C7H13ClN2O,20557814,106,176.643,11,SCHEMBL11329214,48.9,XNKXHHDQOVRHPS-UHFFFAOYSA-N,2,
4-(ethoxymethyl)-5-methyl-1H-imidazole;hydrochloride,3,2,C7H13ClN2O,20331729,97.6,176.643,11,SCHEMBL11460346,37.9,ACEKGHRHZCOGGL-UHFFFAOYSA-N,2,
(4-propyl-1H-imidazol-5-yl)methanol;hydrochloride,3,3,C7H13ClN2O,21273220,97.6,176.643,11,SCHEMBL7313845,48.9,ZUDKAKTWWYQVOB-UHFFFAOYSA-N,2,
1H-benzimidazole;nickel,0,1,C7H6N2Ni,87687806,103,176.829,10,SCHEMBL4543400,28.7,SLDDSKIZYHNLMW-UHFFFAOYSA-N,1,
(4-bromo-1H-imidazol-5-yl)methanol,1,2,C4H5BrN2O,20428013,80.4,176.999,8,586965-42-6,48.9,FWVJFKAWHLQJLJ-UHFFFAOYSA-N,2,0
1H-imidazole;dihydrate;dihydrochloride,0,5,C3H10Cl2N2O2,20343168,28.1,177.029,9,,30.7,HBFKIPBESOSHNZ-UHFFFAOYSA-N,3,
"4,5-dimethyl-1H-imidazole;hydrobromide",0,2,C5H9BrN2,18676173,63.1,177.042,8,SCHEMBL7030389,28.7,UYMILIUPYAMZJI-UHFFFAOYSA-N,1,
[amino(1H-imidazol-5-yl)methyl]phosphonic acid,2,4,C4H8N3O3P,45121015,181,177.098,11,CTK8H9356,112,FOZQEBYZCJSFBY-UHFFFAOYSA-N,5,-0.005
"sodium;1H-imidazole-4,5-dicarboxamide",2,3,C5H6N4NaO2+,54609122,193,177.116,12,NSC40166,115,HFNDAQLWTIVCFJ-UHFFFAOYSA-N,3,
(2R)-2-amino-2-azanyl-3-(1H-imidazol-5-yl)propanoic acid,3,4,C6H10N4O2,66995411,182,177.118,12,SCHEMBL1331226,118,RHRPZEOZXIEUSX-RHXOKWILSA-N,5,-0.004
"9H-[1,2,4]oxadiazolo[3,2-f]purin-2-one",0,1,C6H3N5O2,324699,325,177.12,13,NSC290946,82.9,YNUAHXQAVBMIGJ-UHFFFAOYSA-N,4,0
N-oxo-7H-purine-6-carboxamide,1,1,C6H3N5O2,87383143,233,177.12,13,SCHEMBL2399636,101,RLXFSFSDVJDIIC-UHFFFAOYSA-N,5,-0.2
sodium;(2S)-2-amino-3-(1H-imidazol-5-yl)propanoate,3,2,C6H8N3NaO2,23703989,156,177.136,12,L-Histidine sodium salt,94.8,UHPNKBYGGMJTIM-JEDNCBNOSA-M,4,
sodium;2-amino-3-(1H-imidazol-5-yl)propanoate,3,2,C6H8N3NaO2,23705078,156,177.136,12,SCHEMBL15846312,94.8,UHPNKBYGGMJTIM-UHFFFAOYSA-M,4,
6-amino-2-(diazonioamino)-7H-purine,1,3,C5H5N8+,54138413,232,177.146,13,,121,LBHIBKVPVBBMCZ-UHFFFAOYSA-O,6,0.8
6-methyl-5-nitro-1H-benzimidazole,0,1,C8H7N3O2,4336564,216,177.16,13,5-methyl-6-nitro-1H-benzimidazole,74.5,PIIBPJWEQHHEEN-UHFFFAOYSA-N,3,0.001
5-methyl-4-nitro-1H-benzimidazole,0,1,C8H7N3O2,3902452,216,177.16,13,5-methyl-4-nitro-1H-benzimidazole,74.5,ZEVSEZPXSDDVOX-UHFFFAOYSA-N,3,0.001
7-amino-3H-benzimidazole-5-carboxylic acid,1,3,C8H7N3O2,1419082,221,177.16,13,712263-15-5,92,QXAFLDMPFNNKQZ-UHFFFAOYSA-N,4,0
"methyl 1H-imidazo[4,5-b]pyridine-7-carboxylate",2,1,C8H7N3O2,3433734,210,177.16,13,"METHYL 3H-IMIDAZO[4,5-B]PYRIDINE-7-CARBOXYLATE",67.9,IEVPXSBGABKEOL-UHFFFAOYSA-N,4,0
"7-methyl-1H-imidazo[4,5-b]pyridine-6-carboxylic acid",1,2,C8H7N3O2,89134813,221,177.16,13,SCHEMBL13636700,78.9,VFECSRWXLOEFHF-UHFFFAOYSA-N,4,0
"methyl 1H-imidazo[4,5-c]pyridine-4-carboxylate",2,1,C8H7N3O2,69238214,210,177.16,13,1234616-18-2,67.9,AEVKUBOBFVAQDL-UHFFFAOYSA-N,4,0
4-methyl-7-nitro-1H-benzimidazole,0,1,C8H7N3O2,71434438,216,177.16,13,CTK8G4331,74.5,VHOZELJWOZJICK-UHFFFAOYSA-N,3,0.001
"methyl 1H-imidazo[4,5-b]pyridine-6-carboxylate",2,1,C8H7N3O2,71433321,210,177.16,13,"methyl 1h-imidazo[4,5-b]pyridine-6-carboxylate",67.9,UBEWQOSTWIOOIX-UHFFFAOYSA-N,4,0
"4-methyl-1H-imidazo[4,5-c]pyridine-6-carboxylic acid",1,2,C8H7N3O2,68767014,221,177.16,13,SCHEMBL3736936,78.9,PCJRNOSAZZJRCD-UHFFFAOYSA-N,4,0
4-(1H-pyrrol-2-yl)-1H-imidazole-5-carboxylic acid,2,3,C8H7N3O2,83529733,210,177.16,13,ZINC77266515,81.8,POIUJAOIKWQQKM-UHFFFAOYSA-N,3,0
4-(1H-pyrrol-3-yl)-1H-imidazole-5-carboxylic acid,2,3,C8H7N3O2,82280558,210,177.16,13,ZINC71497117,81.8,JBOHUDUDQLRCDT-UHFFFAOYSA-N,3,0
methyl (E)-2-cyano-3-(1H-imidazol-5-yl)prop-2-enoate,3,1,C8H7N3O2,10559199,276,177.16,13,,78.8,NKAPZWBDBHSBBI-QHHAFSJGSA-N,4,0
"1-(1H-imidazol-5-ylmethyl)pyrrole-2,5-dione",2,1,C8H7N3O2,65678030,257,177.16,13,AKOS015017600,66.1,SCMKRILGVANSJW-UHFFFAOYSA-N,3,0
amino 3H-benzimidazole-5-carboxylate,2,2,C8H7N3O2,90957912,210,177.16,13,,81,ASHDPSWGKCZMKB-UHFFFAOYSA-N,4,0.9
3H-benzimidazol-5-yl carbamate,2,2,C8H7N3O2,18976032,210,177.16,13,SCHEMBL6364795,81,GXTUDCAWUGYGDJ-UHFFFAOYSA-N,3,1
N-hydroxy-1H-benzimidazole-4-carboxamide,1,3,C8H7N3O2,53643139,210,177.16,13,SCHEMBL5480367,78,AHLHPADSBDYQDJ-UHFFFAOYSA-N,3,0
6-methyl-4-nitro-1H-benzimidazole,0,1,C8H7N3O2,46707907,216,177.16,13,6-Methyl-4-nitro-1H-benzimidazole,74.5,LZGGIVJGTACOLD-UHFFFAOYSA-N,3,0.001
6-amino-1H-benzimidazole-4-carboxylic acid,1,3,C8H7N3O2,84655850,221,177.16,13,AKOS024057711,92,WVWFECYRTRIBIG-UHFFFAOYSA-N,4,0
"2-(1H-imidazo[4,5-b]pyridin-7-yl)acetic acid",2,2,C8H7N3O2,84655843,210,177.16,13,AKOS024057703,78.9,OEFPNOQFDHZLOI-UHFFFAOYSA-N,4,0
"methyl 3H-imidazo[4,5-c]pyridine-6-carboxylate",2,1,C8H7N3O2,21892231,210,177.16,13,82523-07-7,67.9,PTZVKSLCCQTAJE-UHFFFAOYSA-N,4,0
3H-benzimidazol-5-ylcarbamic acid,1,3,C8H7N3O2,45078306,210,177.16,13,SCHEMBL5265934,78,MWJHPKIZGAOHGK-UHFFFAOYSA-N,3,1.1
"7-methyl-1H-imidazo[4,5-b]pyridine-5-carboxylic acid",1,2,C8H7N3O2,45120710,221,177.16,13,"3h-imidazo[4,5-b]pyridine-5-carboxylic acid,7-methyl-",78.9,OJOFAQWKZITRSU-UHFFFAOYSA-N,4,0.001
6-amino-3H-benzimidazole-5-carboxylic acid,1,3,C8H7N3O2,45120798,221,177.16,13,863216-51-7,92,ARUKNYKTXCZOHF-UHFFFAOYSA-N,4,0
"methyl 1H-imidazo[4,5-b]pyridine-5-carboxylate",2,1,C8H7N3O2,53989929,210,177.16,13,,67.9,KEDKRLKUQYADGO-UHFFFAOYSA-N,4,0
N-hydroxy-3H-benzimidazole-5-carboxamide,1,3,C8H7N3O2,87266170,210,177.16,13,SCHEMBL1608633,78,DUTODINYDRDFMK-UHFFFAOYSA-N,3,0.6
1H-benzimidazol-4-yl carbamate,2,2,C8H7N3O2,13643702,210,177.16,13,SCHEMBL7519272,81,NWBVOWVQPKQNBB-UHFFFAOYSA-N,3,0
"5-cyclopropyl-1H-pyrrolo[3,4-d]imidazole-4,6-dione",1,1,C8H7N3O2,44614512,287,177.16,13,HE262369,66.1,BGQQLUBGTGEHLE-UHFFFAOYSA-N,3,0
"2-(1H-imidazo[4,5-c]pyridin-4-yl)acetic acid",2,2,C8H7N3O2,76848037,210,177.16,13,ZINC74307708,78.9,NYIAQGBRIZQUHY-UHFFFAOYSA-N,4,0
N-(1H-imidazol-5-yl)furan-2-carboxamide,2,2,C8H7N3O2,17907890,198,177.16,13,,70.9,QEFADKAMHLFZQQ-UHFFFAOYSA-N,3,0
4-methyl-5-nitro-1H-benzimidazole,0,1,C8H7N3O2,15896316,216,177.16,13,4-methyl-5-nitrobenzimidazole,74.5,OUNJNOIRCNXHMH-UHFFFAOYSA-N,3,0.001
"2-(1H-imidazo[4,5-b]pyridin-6-yl)acetic acid",2,2,C8H7N3O2,33726829,210,177.16,13,ZINC26460107,78.9,YQSWWNOAXYMCPH-UHFFFAOYSA-N,4,0
